Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
221124,Gufa,Eritrea-Djibouti,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,12.55,42.53,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt, , , , , , , , , ,1651,1651,6301,186649
263130,Guntur,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Complex,Eruption Observed,1847,-7.143,107.841,2251,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,4652,218012,3412038,24486191
284050,Hachijojima,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1606,33.137,139.766,854,Subduction zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,11275,13560,13564,14082
283250,Hachimantai,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-5350,39.958,140.854,1613,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,268,1261,89833,3131126
275001,Hainan Volcanic Field,China,Eastern Asia Volcanic Regions,Southeast Asia Volcanic Province,Cluster,Volcanic field,Eruption Observed,1933,19.905,110.229,196,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,1731229,1731229,1731229,6213231
283280,Hakkodasan,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1550,40.659,140.877,1585,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,225,730,476624,1921667
283020,Hakoneyama,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Complex,Eruption Dated,2015,35.233,139.021,1438,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,14140,53755,1543563,30282197
283050,Hakusan,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1659,36.155,136.771,2702,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,474,807,63965,5959200
332060,Haleakala,United States,Eastern Pacific Volcanic Regions,Hawaiian-Emperor Hotspot Volcano Group,Shield,Shield,Eruption Dated,1750,20.708,-156.25,3055,Intraplate / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,26074,26074,65398,157582
306040,Halla,South Korea,Eastern Asia Volcanic Regions,Central East Asia Volcanic Province,Shield,Shield,Eruption Observed,1007,33.361,126.53,1919,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , ,134,2653,482766,543082
